time, out0, cell
932.0, 54102.0, 1.0
933.0, 54102.0, 1.0
934.0, 54078.0, 1.0
935.0, 54093.0, 1.0
936.0, 54125.0, 1.0
937.0, 54102.0, 1.0
938.0, 54128.0, 1.0
939.0, 54163.0, 1.0
940.0, 54170.0, 1.0
941.0, 54195.0, 1.0
942.0, 54193.0, 1.0
943.0, 54179.0, 1.0
944.0, 54166.0, 1.0
945.0, 54180.0, 1.0
946.0, 54188.0, 1.0
947.0, 54194.0, 1.0
948.0, 54207.0, 1.0
949.0, 54178.0, 1.0
950.0, 54170.0, 1.0
951.0, 54158.0, 1.0
952.0, 54145.0, 1.0
953.0, 54151.0, 1.0
954.0, 54149.0, 1.0
955.0, 54147.0, 1.0
956.0, 54166.0, 1.0
957.0, 54184.0, 1.0
958.0, 54186.0, 1.0
959.0, 54178.0, 1.0
960.0, 54206.0, 1.0
961.0, 54169.0, 1.0
962.0, 54180.0, 1.0
963.0, 54183.0, 1.0
964.0, 54186.0, 1.0
965.0, 54175.0, 1.0
966.0, 54181.0, 1.0
967.0, 54173.0, 1.0
968.0, 54157.0, 1.0
969.0, 54173.0, 1.0
970.0, 54169.0, 1.0
971.0, 54167.0, 1.0
972.0, 54170.0, 1.0
973.0, 54193.0, 1.0
974.0, 54213.0, 1.0
975.0, 54207.0, 1.0
976.0, 54220.0, 1.0
977.0, 54249.0, 1.0
978.0, 54261.0, 1.0
979.0, 54273.0, 1.0
980.0, 54278.0, 1.0
981.0, 54297.0, 1.0
982.0, 54311.0, 1.0
983.0, 54300.0, 1.0
984.0, 54314.0, 1.0
985.0, 54294.0, 1.0
986.0, 54292.0, 1.0
987.0, 54322.0, 1.0
988.0, 54331.0, 1.0
989.0, 54334.0, 1.0
990.0, 54356.0, 1.0
991.0, 54355.0, 1.0
992.0, 54355.0, 1.0
993.0, 54348.0, 1.0
994.0, 54314.0, 1.0
995.0, 54272.0, 1.0
996.0, 54273.0, 1.0
997.0, 54298.0, 1.0
998.0, 54302.0, 1.0
999.0, 54296.0, 1.0
1000.0, 54310.0, 1.0
1001.0, 54292.0, 1.0
1002.0, 54289.0, 1.0
1003.0, 54319.0, 1.0
1004.0, 54361.0, 1.0
1005.0, 54331.0, 1.0
1006.0, 54287.0, 1.0
1007.0, 54317.0, 1.0
1008.0, 54310.0, 1.0
1009.0, 54309.0, 1.0
1010.0, 54307.0, 1.0
1011.0, 54302.0, 1.0
1012.0, 54347.0, 1.0
1013.0, 54373.0, 1.0
1014.0, 54361.0, 1.0
1015.0, 54364.0, 1.0
1016.0, 54322.0, 1.0
1017.0, 54325.0, 1.0
1018.0, 54322.0, 1.0
1019.0, 54324.0, 1.0
1020.0, 54327.0, 1.0
1021.0, 54344.0, 1.0
1022.0, 54371.0, 1.0
1023.0, 54341.0, 1.0
1024.0, 54325.0, 1.0
1025.0, 54340.0, 1.0
1026.0, 54306.0, 1.0
1027.0, 54305.0, 1.0
1028.0, 54277.0, 1.0
1029.0, 54270.0, 1.0
1030.0, 54286.0, 1.0
1031.0, 54299.0, 1.0
1032.0, 54318.0, 1.0
1033.0, 54301.0, 1.0
1034.0, 54317.0, 1.0
1035.0, 54330.0, 1.0
1036.0, 54354.0, 1.0
1037.0, 54367.0, 1.0
1038.0, 54333.0, 1.0
1039.0, 54348.0, 1.0
1040.0, 54372.0, 1.0
1041.0, 54340.0, 1.0
1042.0, 54329.0, 1.0
1043.0, 54323.0, 1.0
1044.0, 54324.0, 1.0
1045.0, 54329.0, 1.0
1046.0, 54302.0, 1.0
1047.0, 54282.0, 1.0
1048.0, 54339.0, 1.0
1049.0, 54383.0, 1.0
1050.0, 54370.0, 1.0
1051.0, 54373.0, 1.0
1052.0, 54418.0, 1.0
1053.0, 54402.0, 1.0
1054.0, 54401.0, 1.0
1055.0, 54436.0, 1.0
1056.0, 54446.0, 1.0
1057.0, 54428.0, 1.0
1058.0, 54455.0, 1.0
1059.0, 54477.0, 1.0
1060.0, 54475.0, 1.0
1061.0, 54457.0, 1.0
1062.0, 54445.0, 1.0
1063.0, 54466.0, 1.0
1064.0, 54490.0, 1.0
1065.0, 54507.0, 1.0
1066.0, 54534.0, 1.0
1067.0, 54558.0, 1.0
1068.0, 54527.0, 1.0
1069.0, 54518.0, 1.0
1070.0, 54541.0, 1.0
1071.0, 54557.0, 1.0
1072.0, 54568.0, 1.0
1073.0, 54578.0, 1.0
1074.0, 54549.0, 1.0
1075.0, 54524.0, 1.0
1076.0, 54494.0, 1.0
1077.0, 54523.0, 1.0
1078.0, 54545.0, 1.0
1079.0, 54547.0, 1.0
1080.0, 54558.0, 1.0
1081.0, 54516.0, 1.0
1082.0, 54522.0, 1.0
1083.0, 54503.0, 1.0
1084.0, 54496.0, 1.0
1085.0, 54540.0, 1.0
1086.0, 54505.0, 1.0
1087.0, 54506.0, 1.0
1088.0, 54503.0, 1.0
1089.0, 54523.0, 1.0
1090.0, 54512.0, 1.0
1091.0, 54533.0, 1.0
1092.0, 54532.0, 1.0
1093.0, 54514.0, 1.0
1094.0, 54514.0, 1.0
1095.0, 54541.0, 1.0
1096.0, 54525.0, 1.0
1097.0, 54505.0, 1.0
1098.0, 54506.0, 1.0
1099.0, 54513.0, 1.0
1100.0, 54520.0, 1.0
1101.0, 54527.0, 1.0
1102.0, 54519.0, 1.0
1103.0, 54530.0, 1.0
1104.0, 54556.0, 1.0
1105.0, 54578.0, 1.0
1106.0, 54583.0, 1.0
1107.0, 54587.0, 1.0
1108.0, 54577.0, 1.0
1109.0, 54540.0, 1.0
1110.0, 54555.0, 1.0
1111.0, 54587.0, 1.0
1112.0, 54610.0, 1.0
1113.0, 54652.0, 1.0
1114.0, 54671.0, 1.0
1115.0, 54643.0, 1.0
1116.0, 54656.0, 1.0
1117.0, 54650.0, 1.0
1118.0, 54662.0, 1.0
1119.0, 54659.0, 1.0
1120.0, 54676.0, 1.0
1121.0, 54643.0, 1.0
1122.0, 54635.0, 1.0
1123.0, 54625.0, 1.0
1124.0, 54640.0, 1.0
1125.0, 54610.0, 1.0
1126.0, 54604.0, 1.0
1127.0, 54628.0, 1.0
1128.0, 54630.0, 1.0
1129.0, 54651.0, 1.0
1130.0, 54658.0, 1.0
1131.0, 54634.0, 1.0
1132.0, 54619.0, 1.0
1133.0, 54611.0, 1.0
1134.0, 54630.0, 1.0
1135.0, 54649.0, 1.0
1136.0, 54643.0, 1.0
1137.0, 54621.0, 1.0
1138.0, 54582.0, 1.0
1139.0, 54595.0, 1.0
1140.0, 54580.0, 1.0
1141.0, 54586.0, 1.0
1142.0, 54552.0, 1.0
1143.0, 54574.0, 1.0
1144.0, 54591.0, 1.0
1145.0, 54597.0, 1.0
1146.0, 54617.0, 1.0
1147.0, 54606.0, 1.0
1148.0, 54643.0, 1.0
1149.0, 54638.0, 1.0
1150.0, 54634.0, 1.0
1151.0, 54612.0, 1.0
1152.0, 54629.0, 1.0
1153.0, 54627.0, 1.0
1154.0, 54584.0, 1.0
1155.0, 54595.0, 1.0
1156.0, 54580.0, 1.0
1157.0, 54564.0, 1.0
1158.0, 54553.0, 1.0
1159.0, 54546.0, 1.0
1160.0, 54569.0, 1.0
1161.0, 54606.0, 1.0
1162.0, 54567.0, 1.0
1163.0, 54552.0, 1.0
1164.0, 54571.0, 1.0
1165.0, 54552.0, 1.0
1166.0, 54518.0, 1.0
1167.0, 54521.0, 1.0
1168.0, 54519.0, 1.0
1169.0, 54512.0, 1.0
1170.0, 54511.0, 1.0
1171.0, 54479.0, 1.0
1172.0, 54497.0, 1.0
1173.0, 54570.0, 1.0
1174.0, 54548.0, 1.0
1175.0, 54496.0, 1.0
1176.0, 54517.0, 1.0
1177.0, 54528.0, 1.0
1178.0, 54551.0, 1.0
1179.0, 54539.0, 1.0
1180.0, 54527.0, 1.0
1181.0, 54510.0, 1.0
1182.0, 54502.0, 1.0
1183.0, 54545.0, 1.0
1184.0, 54557.0, 1.0
1185.0, 54555.0, 1.0
1186.0, 54578.0, 1.0
1187.0, 54567.0, 1.0
1188.0, 54585.0, 1.0
1189.0, 54582.0, 1.0
1190.0, 54577.0, 1.0
1191.0, 54542.0, 1.0
1192.0, 54577.0, 1.0
1193.0, 54565.0, 1.0
1194.0, 54557.0, 1.0
1195.0, 54565.0, 1.0
1196.0, 54611.0, 1.0
1197.0, 54599.0, 1.0
1198.0, 54633.0, 1.0
1199.0, 54642.0, 1.0
1200.0, 54649.0, 1.0
1201.0, 54646.0, 1.0
1202.0, 54652.0, 1.0
1203.0, 54669.0, 1.0
1204.0, 54684.0, 1.0
1205.0, 54715.0, 1.0
1206.0, 54765.0, 1.0
1207.0, 54802.0, 1.0
1208.0, 54832.0, 1.0
1209.0, 54834.0, 1.0
1210.0, 54843.0, 1.0
1211.0, 54821.0, 1.0
1212.0, 54761.0, 1.0
1213.0, 54740.0, 1.0
1214.0, 54710.0, 1.0
1215.0, 54700.0, 1.0
1216.0, 54712.0, 1.0
1217.0, 54742.0, 1.0
1218.0, 54748.0, 1.0
1219.0, 54738.0, 1.0
1220.0, 54706.0, 1.0
1221.0, 54711.0, 1.0
1222.0, 54702.0, 1.0
1223.0, 54703.0, 1.0
1224.0, 54712.0, 1.0
1225.0, 54708.0, 1.0
1226.0, 54746.0, 1.0
1227.0, 54733.0, 1.0
1228.0, 54749.0, 1.0
1229.0, 54757.0, 1.0
1230.0, 54748.0, 1.0
1231.0, 54747.0, 1.0
1232.0, 54777.0, 1.0
1233.0, 54755.0, 1.0
1234.0, 54742.0, 1.0
1235.0, 54759.0, 1.0
1236.0, 54796.0, 1.0
1237.0, 54786.0, 1.0
1238.0, 54787.0, 1.0
1239.0, 54800.0, 1.0
1240.0, 54788.0, 1.0
1241.0, 54795.0, 1.0
1242.0, 54804.0, 1.0
1243.0, 54804.0, 1.0
1244.0, 54780.0, 1.0
1245.0, 54787.0, 1.0
1246.0, 54813.0, 1.0
1247.0, 54819.0, 1.0
1248.0, 54801.0, 1.0
1249.0, 54800.0, 1.0
1250.0, 54822.0, 1.0
1251.0, 54854.0, 1.0
1252.0, 54846.0, 1.0
1253.0, 54860.0, 1.0
1254.0, 54906.0, 1.0
1255.0, 54924.0, 1.0
1256.0, 54930.0, 1.0
1257.0, 54931.0, 1.0
1258.0, 54999.0, 1.0
1259.0, 55029.0, 1.0
1260.0, 55006.0, 1.0
1261.0, 54990.0, 1.0
1262.0, 55025.0, 1.0
1263.0, 55057.0, 1.0
1264.0, 55089.0, 1.0
1265.0, 55087.0, 1.0
1266.0, 55071.0, 1.0
1267.0, 55080.0, 1.0
1268.0, 55081.0, 1.0
1269.0, 55064.0, 1.0
1270.0, 55074.0, 1.0
1271.0, 55075.0, 1.0
1272.0, 55122.0, 1.0
1273.0, 55113.0, 1.0
1274.0, 55155.0, 1.0
1275.0, 55184.0, 1.0
1276.0, 55185.0, 1.0
1277.0, 55188.0, 1.0
1278.0, 55196.0, 1.0
1279.0, 55212.0, 1.0
1280.0, 55247.0, 1.0
1281.0, 55243.0, 1.0
1282.0, 55235.0, 1.0
1283.0, 55225.0, 1.0
1284.0, 55225.0, 1.0
1285.0, 55207.0, 1.0
1286.0, 55245.0, 1.0
1287.0, 55229.0, 1.0
1288.0, 55248.0, 1.0
1289.0, 55263.0, 1.0
1290.0, 55280.0, 1.0
1291.0, 55286.0, 1.0
1292.0, 55301.0, 1.0
1293.0, 55294.0, 1.0
1294.0, 55275.0, 1.0
1295.0, 55282.0, 1.0
1296.0, 55308.0, 1.0
1297.0, 55313.0, 1.0
1298.0, 55331.0, 1.0
1299.0, 55366.0, 1.0
1300.0, 55351.0, 1.0
1301.0, 55305.0, 1.0
1302.0, 55334.0, 1.0
1303.0, 55318.0, 1.0
1304.0, 55331.0, 1.0
1305.0, 55319.0, 1.0
1306.0, 55300.0, 1.0
1307.0, 55273.0, 1.0
1308.0, 55290.0, 1.0
1309.0, 55280.0, 1.0
1310.0, 55285.0, 1.0
1311.0, 55320.0, 1.0
1312.0, 55325.0, 1.0
1313.0, 55313.0, 1.0
1314.0, 55360.0, 1.0
1315.0, 55387.0, 1.0
1316.0, 55428.0, 1.0
1317.0, 55384.0, 1.0
1318.0, 55424.0, 1.0
1319.0, 55425.0, 1.0
1320.0, 55404.0, 1.0
1321.0, 55356.0, 1.0
1322.0, 55342.0, 1.0
1323.0, 55380.0, 1.0
1324.0, 55372.0, 1.0
1325.0, 55330.0, 1.0
1326.0, 55337.0, 1.0
1327.0, 55315.0, 1.0
1328.0, 55300.0, 1.0
1329.0, 55293.0, 1.0
1330.0, 55253.0, 1.0
1331.0, 55241.0, 1.0
1332.0, 55262.0, 1.0
1333.0, 55229.0, 1.0
1334.0, 55235.0, 1.0
1335.0, 55185.0, 1.0
1336.0, 55151.0, 1.0
1337.0, 55159.0, 1.0
1338.0, 55164.0, 1.0
1339.0, 55175.0, 1.0
1340.0, 55187.0, 1.0
1341.0, 55187.0, 1.0
1342.0, 55189.0, 1.0
1343.0, 55160.0, 1.0
1344.0, 55158.0, 1.0
1345.0, 55167.0, 1.0
1346.0, 55212.0, 1.0
1347.0, 55239.0, 1.0
1348.0, 55234.0, 1.0
1349.0, 55214.0, 1.0
1350.0, 55229.0, 1.0
1351.0, 55228.0, 1.0
1352.0, 55256.0, 1.0
1353.0, 55263.0, 1.0
1354.0, 55266.0, 1.0
1355.0, 55256.0, 1.0
1356.0, 55284.0, 1.0
1357.0, 55269.0, 1.0
1358.0, 55251.0, 1.0
1359.0, 55261.0, 1.0
1360.0, 55257.0, 1.0
1361.0, 55257.0, 1.0
1362.0, 55253.0, 1.0
1363.0, 55251.0, 1.0
1364.0, 55238.0, 1.0
1365.0, 55254.0, 1.0
1366.0, 55244.0, 1.0
1367.0, 55259.0, 1.0
1368.0, 55260.0, 1.0
1369.0, 55235.0, 1.0
1370.0, 55208.0, 1.0
1371.0, 55226.0, 1.0
1372.0, 55230.0, 1.0
1373.0, 55228.0, 1.0
1374.0, 55251.0, 1.0
1375.0, 55258.0, 1.0
1376.0, 55249.0, 1.0
1377.0, 55193.0, 1.0
1378.0, 55203.0, 1.0
1379.0, 55212.0, 1.0
1380.0, 55224.0, 1.0
1381.0, 55257.0, 1.0
1382.0, 55275.0, 1.0
1383.0, 55272.0, 1.0
1384.0, 55236.0, 1.0
1385.0, 55234.0, 1.0
1386.0, 55225.0, 1.0
1387.0, 55245.0, 1.0
1388.0, 55234.0, 1.0
1389.0, 55211.0, 1.0
1390.0, 55197.0, 1.0
1391.0, 55213.0, 1.0
1392.0, 55198.0, 1.0
1393.0, 55199.0, 1.0
1394.0, 55212.0, 1.0
1395.0, 55264.0, 1.0
1396.0, 55279.0, 1.0
1397.0, 55258.0, 1.0
1398.0, 55265.0, 1.0
1399.0, 55289.0, 1.0
1400.0, 55292.0, 1.0
1401.0, 55265.0, 1.0
1402.0, 55269.0, 1.0
1403.0, 55250.0, 1.0
1404.0, 55218.0, 1.0
1405.0, 55229.0, 1.0
1406.0, 55227.0, 1.0
1407.0, 55228.0, 1.0
1408.0, 55250.0, 1.0
1409.0, 55246.0, 1.0
1410.0, 55182.0, 1.0
1411.0, 55207.0, 1.0
1412.0, 55179.0, 1.0
1413.0, 55190.0, 1.0
1414.0, 55192.0, 1.0
1415.0, 55191.0, 1.0
1416.0, 55201.0, 1.0
1417.0, 55202.0, 1.0
1418.0, 55206.0, 1.0
1419.0, 55236.0, 1.0
1420.0, 55243.0, 1.0
1421.0, 55242.0, 1.0
1422.0, 55287.0, 1.0
1423.0, 55317.0, 1.0
1424.0, 55321.0, 1.0
1425.0, 55325.0, 1.0
1426.0, 55299.0, 1.0
1427.0, 55267.0, 1.0
1428.0, 55233.0, 1.0
1429.0, 55241.0, 1.0
1430.0, 55226.0, 1.0
1431.0, 55253.0, 1.0
1432.0, 55206.0, 1.0
1433.0, 55182.0, 1.0
1434.0, 55202.0, 1.0
1435.0, 55186.0, 1.0
1436.0, 55188.0, 1.0
1437.0, 55204.0, 1.0
1438.0, 55200.0, 1.0
1439.0, 55234.0, 1.0
1440.0, 55255.0, 1.0
1441.0, 55278.0, 1.0
1442.0, 55286.0, 1.0
1443.0, 55304.0, 1.0
1444.0, 55257.0, 1.0
1445.0, 55278.0, 1.0
1446.0, 55265.0, 1.0
1447.0, 55253.0, 1.0
1448.0, 55234.0, 1.0
1449.0, 55199.0, 1.0
1450.0, 55207.0, 1.0
1451.0, 55228.0, 1.0
1452.0, 55294.0, 1.0
1453.0, 55295.0, 1.0
1454.0, 55333.0, 1.0
1455.0, 55351.0, 1.0
1456.0, 55350.0, 1.0
1457.0, 55367.0, 1.0
1458.0, 55350.0, 1.0
1459.0, 55401.0, 1.0
1460.0, 55414.0, 1.0
1461.0, 55421.0, 1.0
1462.0, 55459.0, 1.0
1463.0, 55481.0, 1.0
1464.0, 55450.0, 1.0
1465.0, 55473.0, 1.0
1466.0, 55464.0, 1.0
1467.0, 55463.0, 1.0
1468.0, 55491.0, 1.0
1469.0, 55506.0, 1.0
1470.0, 55540.0, 1.0
1471.0, 55472.0, 1.0
1472.0, 55455.0, 1.0
1473.0, 55437.0, 1.0
1474.0, 55427.0, 1.0
1475.0, 55405.0, 1.0
1476.0, 55421.0, 1.0
1477.0, 55414.0, 1.0
1478.0, 55429.0, 1.0
1479.0, 55445.0, 1.0
1480.0, 55454.0, 1.0
1481.0, 55487.0, 1.0
1482.0, 55480.0, 1.0
1483.0, 55515.0, 1.0
1484.0, 55490.0, 1.0
1485.0, 55497.0, 1.0
1486.0, 55514.0, 1.0
1487.0, 55529.0, 1.0
1488.0, 55470.0, 1.0
1489.0, 55495.0, 1.0
1490.0, 55513.0, 1.0
1491.0, 55499.0, 1.0
1492.0, 55494.0, 1.0
1493.0, 55454.0, 1.0
1494.0, 55461.0, 1.0
1495.0, 55418.0, 1.0
1496.0, 55407.0, 1.0
1497.0, 55375.0, 1.0
1498.0, 55338.0, 1.0
1499.0, 55370.0, 1.0
1500.0, 55390.0, 1.0
